,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type
47,"(53.4787220614879, 18.747616711957942)","(53.484565, 18.749115)",127.20000000000002,659.3,5.18317610062893,25,25,0.0,0.0,0.0,1,0,0
48,"(53.484565, 18.749115)","(53.484677, 18.749618)",51.400000000000006,137.0,2.6653696498054473,25,25,0.0,0.0,0.0,0,0,0
49,"(53.484677, 18.749618)","(53.484163, 18.750389)",43.8,103.6,2.365296803652968,25,23,-0.0193050193050193,-1.9305019305019304,-0.0193026216186832,0,0,0
50,"(53.484163, 18.750389)","(53.48445734007539, 18.750175706294737)",69.2,144.2,2.083815028901734,23,25,0.0138696255201109,1.3869625520110958,0.0138687362722506,0,0,0
51,"(53.48445734007539, 18.750175706294737)","(53.484163, 18.750389)",69.2,144.2,2.083815028901734,25,23,-0.0138696255201109,-1.3869625520110958,-0.0138687362722506,1,0,0
52,"(53.484163, 18.750389)","(53.483915, 18.752772)",55.4,196.2,3.5415162454873643,23,22,-0.0050968399592252,-0.509683995922528,-0.0050967958250549,0,0,0
53,"(53.483915, 18.752772)","(53.486552788049146, 18.755161643371487)",90.99999999999999,406.9,4.4714285714285715,22,22,0.0,0.0,0.0,0,0,0
54,"(53.486552788049146, 18.755161643371487)","(53.488807519157966, 18.751947180215392)",87.8,451.7,5.144646924829157,22,23,0.0022138587558113,0.2213858755811379,0.0022138551389888,1,0,0
55,"(53.488807519157966, 18.751947180215392)","(53.49151389579054, 18.75344649160273)",81.2,370.2,4.55911330049261,23,27,0.0108049702863317,1.0804970286331712,0.0108045498317824,1,0,0
56,"(53.49151389579054, 18.75344649160273)","(53.49321613006566, 18.757984523361912)",112.2,502.4,4.477718360071301,27,24,-0.0059713375796178,-0.5971337579617835,-0.0059712666080619,1,0,0
57,"(53.49321613006566, 18.757984523361912)","(53.492558525875445, 18.761132600486793)",67.0,290.0,4.3283582089552235,24,23,-0.0034482758620689,-0.3448275862068966,-0.0034482621948027,1,0,0
58,"(53.492558525875445, 18.761132600486793)","(53.49469677139516, 18.76758424233806)",92.60000000000001,515.4,5.565874730021598,23,22,-0.0019402405898331,-0.1940240589833139,-0.0019402381551383,1,0,0
59,"(53.49469677139516, 18.76758424233806)","(53.495012, 18.770664)",41.4,207.0,5.0,22,22,0.0,0.0,0.0,1,0,0
60,"(53.495012, 18.770664)","(53.49578572718109, 18.773695751251054)",39.6,220.5,5.568181818181818,22,21,-0.0045351473922902,-0.4535147392290249,-0.0045351163003657,0,0,0
61,"(53.49578572718109, 18.773695751251054)","(53.496692, 18.77842)",59.599999999999994,329.5,5.528523489932886,21,22,0.0030349013657056,0.3034901365705614,0.0030348920479763,1,0,0
62,"(53.496692, 18.77842)","(53.49752646120528, 18.778303256530293)",86.2,116.5,1.351508120649652,22,22,0.0,0.0,0.0,0,0,0
63,"(53.49752646120528, 18.778303256530293)","(53.500904, 18.776261)",101.2,411.6,4.067193675889328,22,26,0.0097181729834791,0.9718172983479106,0.0097178670633792,1,0,0
64,"(53.500904, 18.776261)","(53.50167389110827, 18.775986619308448)",47.8,109.2,2.284518828451883,26,29,0.0274725274725274,2.747252747252748,0.0274656190643717,0,0,0
65,"(53.50167389110827, 18.775986619308448)","(53.50443072347926, 18.775152184674265)",92.6,339.8,3.6695464362850974,29,37,0.0235432607416127,2.354326074161272,0.0235389122946038,1,0,0
