,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type
18,"(53.46470678612434, 18.771094727415104)","(53.46147504103367, 18.77563931251242)",70.3,468.4,6.6628733997155045,23,24,0.0021349274124679,0.2134927412467976,0.0021349241688709,1,0,0
19,"(53.46147504103367, 18.77563931251242)","(53.460227, 18.774688)",33.5,216.5,6.462686567164179,24,22,-0.0092378752886836,-0.9237875288683602,-0.009237612520491,1,0,0
20,"(53.460227, 18.774688)","(53.45934073769062, 18.775076744615216)",17.5,169.4,9.68,22,19,-0.0177095631641086,-1.7709563164108617,-0.0177077121037607,0,0,0
21,"(53.45934073769062, 18.775076744615216)","(53.457445131573266, 18.781929185087613)",45.0,501.6,11.146666666666668,19,19,0.0,0.0,0.0,1,0,0
22,"(53.457445131573266, 18.781929185087613)","(53.4527650427964, 18.784918633242867)",100.6,690.0,6.858846918489066,19,27,0.0115942028985507,1.1594202898550725,0.0115936834214502,1,0,0
23,"(53.4527650427964, 18.784918633242867)","(53.453851, 18.784119)",40.8,140.6,3.446078431372549,27,23,-0.0284495021337126,-2.844950213371266,-0.0284418304281952,1,0,0
24,"(53.453851, 18.784119)","(53.451767, 18.785756)",43.5,277.3,6.374712643678161,23,29,0.0216372160115398,2.1637216011539846,0.0216338403342856,0,0,0
25,"(53.451767, 18.785756)","(53.450418419224135, 18.78762595543442)",32.5,204.8,6.3015384615384615,29,30,0.0048828125,0.48828125,0.0048827736954478,0,1,0
26,"(53.450418419224135, 18.78762595543442)","(53.453851, 18.784119)",58.0,482.0,8.310344827586206,30,23,-0.0145228215767634,-1.4522821576763485,-0.0145218006918249,1,0,0
27,"(53.453851, 18.784119)","(53.452753700957615, 18.784916910220815)",41.0,141.6,3.453658536585366,23,27,0.0282485875706214,2.824858757062147,0.0282410772047877,0,0,0
28,"(53.452753700957615, 18.784916910220815)","(53.453851, 18.784119)",41.1,141.6,3.4452554744525545,27,23,-0.0282485875706214,-2.824858757062147,-0.0282410772047877,1,0,0
29,"(53.453851, 18.784119)","(53.45563582883922, 18.783157695289027)",32.8,251.4,7.664634146341465,23,21,-0.0079554494828957,-0.7955449482895784,-0.0079552816579865,0,0,0
30,"(53.45563582883922, 18.783157695289027)","(53.456994, 18.784218)",15.4,170.9,11.097402597402596,21,22,0.0058513750731421,0.5851375073142189,0.0058513082935695,1,0,0
31,"(53.456994, 18.784218)","(53.457109, 18.784247)",75.3,322.5,4.282868525896414,22,22,0.0,0.0,0.0,0,0,0
32,"(53.457109, 18.784247)","(53.457513312843425, 18.78254191479079)",11.2,124.1,11.080357142857142,22,23,0.008058017727639,0.8058017727639002,0.0080578433276386,0,0,0
33,"(53.457513312843425, 18.78254191479079)","(53.459449, 18.774906)",49.8,555.5,11.154618473895583,23,22,-0.0018001800180018,-0.18001800180018,-0.0018001780734222,1,0,0
34,"(53.459449, 18.774906)","(53.46084405941081, 18.7760458892938)",27.7,217.5,7.851985559566788,22,21,-0.0045977011494252,-0.4597701149425287,-0.0045976687531222,0,0,0
35,"(53.46084405941081, 18.7760458892938)","(53.46265837578394, 18.774303319614148)",44.2,260.6,5.895927601809955,21,21,0.0,0.0,0.0,1,0,0
36,"(53.46265837578394, 18.774303319614148)","(53.4645391065275, 18.77145751826289)",42.4,281.6,6.641509433962265,21,23,0.0071022727272727,0.7102272727272727,0.0071021533126153,1,0,0
37,"(53.4645391065275, 18.77145751826289)","(53.46634145346498, 18.76718621050771)",59.5,443.8,7.458823529411765,23,23,0.0,0.0,0.0,1,0,0
38,"(53.46634145346498, 18.76718621050771)","(53.466649611332926, 18.764607380763675)",19.2,204.0,10.625,23,22,-0.0049019607843137,-0.4901960784313725,-0.0049019215214491,1,0,0
39,"(53.466649611332926, 18.764607380763675)","(53.472888, 18.758831)",75.5,793.2,10.505960264900663,22,25,0.0037821482602118,0.37821482602118,0.0037821302262699,1,0,0
40,"(53.472888, 18.758831)","(53.476219561680296, 18.757223821865797)",36.7,386.1,10.520435967302452,25,24,-0.0025900025900025,-0.2590002590002589,-0.0025899967986821,0,0,0
41,"(53.476219561680296, 18.757223821865797)","(53.47767, 18.756443)",15.2,170.6,11.223684210526317,24,24,0.0,0.0,0.0,1,0,0
42,"(53.47767, 18.756443)","(53.477207, 18.755233)",9.2,105.2,11.434782608695654,24,24,0.0,0.0,0.0,0,0,0
43,"(53.477207, 18.755233)","(53.4766466099667, 18.75339406081288)",12.4,136.6,11.016129032258064,24,24,0.0,0.0,0.0,0,0,0
44,"(53.4766466099667, 18.75339406081288)","(53.474934, 18.747099)",47.3,467.5,9.883720930232558,24,30,0.0128342245989304,1.2834224598930482,0.0128335199955341,1,0,0
45,"(53.474934, 18.747099)","(53.475565, 18.746008)",28.1,166.7,5.93238434163701,30,27,-0.017996400719856,-1.7996400719856032,-0.0179944582632382,0,0,0
46,"(53.475565, 18.746008)","(53.4787220614879, 18.747616711957942)",35.1,368.8,10.507122507122508,27,25,-0.0054229934924078,-0.5422993492407809,-0.0054229403319965,0,0,0
47,"(53.4787220614879, 18.747616711957942)","(53.484565, 18.749115)",63.6,659.3,10.36635220125786,25,25,0.0,0.0,0.0,1,0,0
